parser,expr_len,time
gccjit,1,0.071
gccjit,2,0.189
gccjit,3,0.308
gccjit,4,0.421
gccjit,5,0.537
gccjit,6,0.654
gccjit,7,0.774
gccjit,8,0.886
gccjit,9,1.010
gccjit,10,1.127
gccjit,11,1.239
gccjit,12,1.360
gccjit,13,1.481
gccjit,14,1.594
gccjit,15,1.704

recalc,1,1.663
recalc,2,2.448
recalc,3,3.050
recalc,4,4.670
recalc,5,5.755
recalc,6,6.839
recalc,7,7.648
recalc,8,9.031
recalc,9,10.129
recalc,10,11.025
recalc,11,11.875
recalc,12,13.223
recalc,13,13.932
recalc,14,14.673
recalc,15,15.470

ast,1,0.915
ast,2,1.771
ast,3,2.403
ast,4,4.047
ast,5,5.147
ast,6,6.491
ast,7,7.270
ast,8,8.612
ast,9,9.833
ast,10,10.412
ast,11,11.379
ast,12,12.805
ast,13,13.412
ast,14,14.063
ast,15,14.942

usual_rpn,1,1.059
usual_rpn,2,1.235
usual_rpn,3,1.831
usual_rpn,4,2.915
usual_rpn,5,3.458
usual_rpn,6,3.649
usual_rpn,7,4.181
usual_rpn,8,4.707
usual_rpn,9,5.902
usual_rpn,10,6.894
usual_rpn,11,7.081
usual_rpn,12,8.234
usual_rpn,13,8.765
usual_rpn,14,9.330
usual_rpn,15,9.846
